,UID,Wat is je leeftijd?,Wat is je geslacht?,In welk leerjaar zit je?,Hoeveel uur wiskunde krijg je per week?,"Hoe goed ben je, volgens jezelf, in wiskunde?","Hoe goed ben je, volgens jezelf, met het gebruik van computers?","Gebruikte je al eens een andere website om online oefeningen te maken? (bijvoorbeeld voor wiskunde, Nederlands ...)","Gebruik je websites waar producten/films/... worden aangeraden? (zoals Netflix, Amazon, Bol, ...)",Ik bezoek Wiski niet met Safari of Firefox.
13,1886,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
14,1887,16, Meisje, 4e middelbaar,5,2,3, Nee, Ja, Ja
15,1888,15, Meisje, 4e middelbaar,5,4,4, Nee, Nee, Ja
16,1889,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
18,1891,15, Meisje, 6e middelbaar,5,4,3, Ja, Nee, Ja
19,1892,15, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
20,1893,15, Jongen, 4e middelbaar,5,3,4, Ja, Ja, Ja
21,1894,15, Meisje, 4e middelbaar,5,3,4, Ja, Ja, Ja
22,1895,15, Meisje, 4e middelbaar,5,4,2, Nee, Ja, Ja
24,1896,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
27,1899,15, Jongen, 4e middelbaar,5,3,4, Nee, Nee, Ja
39,1910,16, Meisje, 4e middelbaar,5,3,4, Ja, Ja, Ja
40,1911,15, Jongen, 4e middelbaar,5,5,3, Nee, Ja, Ja
41,1912,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
43,1914,15, Meisje, 4e middelbaar,5,5,4, Nee, Ja, Ja
50,1921,16, Jongen, 5e middelbaar,2,3,5, Nee, Ja, Ja
56,1930,17, Meisje, 5e middelbaar,6,4,3, Ja, Ja, Ja
58,1932,15, Meisje, 4e middelbaar,5,3,3, Nee, Ja, Ja
61,1842,16, Jongen, 5e middelbaar,6,4,5, Ja, Ja, Ja
63,1939,15, Jongen, 4e middelbaar,3,3,4, Nee, Ja, Ja
64,1941,17, Jongen, 6e middelbaar,6,3,4, Ja, Nee, Ja
65,1938,17, Jongen, 6e middelbaar,8,5,3, Nee, Ja, Ja
67,1944,17, Meisje, 6e middelbaar,6,5,2, Nee, Ja, Ja
69,1947,13, Jongen, 3e middelbaar,4,4,4, Ja, Ja, Ja
70,1948,18, Jongen, 6e middelbaar,8,4,4, Nee, Ja, Ja
71,1949,17, Meisje, 5e middelbaar,8,4,3, Ja, Nee, Ja
72,1950,16, Meisje, 4e middelbaar,4,3,3, Ja, Ja, Ja
77,1956,16, Meisje, 3e middelbaar,4,3,4, Nee, Nee, Ja
79,1958,15, Meisje, 3e middelbaar,4,3,3, Ja, Ja, Ja
81,1962,15, Meisje, 4e middelbaar,4,3,4, Ja, Ja, Ja
84,1967,17, Meisje, 5e middelbaar,3,3,4, Ja, Ja, Ja
86,1968,16, Meisje, 5e middelbaar,6,3,3, Ja, Ja, Ja
87,1969,15, Meisje, 5e middelbaar,7,3,4, Ja, Ja, Ja
89,1970,18, Jongen, 6e middelbaar,2,3,4, Nee, Ja, Ja
90,1971,18, Jongen, 6e middelbaar,2,4,4, Nee, Ja, Ja
92,1973,16, Jongen, 5e middelbaar,7,5,4, Ja, Ja, Ja
95,1976,17, Meisje, 6e middelbaar,6,5,4, Nee, Ja, Ja
